Question,Status
Explain the request-response lifecycle between a web browser and a server. How does this model form the basis of the internet?,Published
A user clicks a link. Describe the journey of this request down the OSI model from the Application Layer on the client to the Physical Layer,Published
How does a forwa/rd proxy differ from a reverse proxy? Provide a real-world use case for each (e.g.,Published
When would you choose UDP over TCP for an application? Discuss the trade-offs in the context of video streaming vs. file transfer.,Published
Map out the step-by-step process of a DNS lookup when a user types 'www.google.com' into their browser for the first time. Include Recursive and Authoritative nameservers.,
What were the primary performance bottlenecks of HTTP/1.1 that led to the development of HTTP/2? Explain concepts like multiplexing and server push.,
You are designing a global news website. How would you use a CDN to ensure fast load times for articles and images for users in Japan, Brazil
What specific security guarantees does HTTPS provide that HTTP does not? Detail the high-level steps of the SSL/TLS handshake.,
Your application's database server is hitting 90% CPU usage. Compare and contrast the approaches of vertical and horizontal scaling to solve this problem.,
For a startup building a new social media app, would you recommend they start with IaaS
Describe different load balancing algorithms (e.g., Round Robin
What is the fundamental difference between a Layer 4 (Network) and Layer 7 (Application) load balancer? Provide an example of a routing decision only an L7 load balancer can make.,
Why is a stateless architecture a key principle for building highly scalable web applications? How do you manage user sessions in a stateless system?,
Explain the architectural differences between a Virtual Machine and a Container. Why have containers become the preferred choice for modern microservice-based applications?,
Explain the CAP theorem (Consistency, Availability
How do cloud providers like AWS use Regions and Availability Zones to offer high availability? Design a simple, highly-available two-tier web application architecture using these concepts.
Design the SQL schema for a simple e-commerce platform with Products, Customers
Describe a basic Git workflow for a team of two developers working on the same feature. How do they avoid conflicts, and what is the purpose of a 'pull request'?
Compare the four main types of NoSQL databases (Key-Value, Document
What are the primary advantages of using a managed database service like RDS over deploying and managing your own MySQL server on a VM? What are the potential downsides?,
Explain the difference between Cache-Aside, Read-Through
When would you choose Redis over Memcached for a caching solution? Discuss the differences in data structures and persistence.,
How do database indexes work at a high level? What is the performance trade-off when adding an index to a frequently written table?,
Explain the difference between Object Storage (like S3), Block Storage (like EBS)
Design a system for processing video uploads. How would you use a message queue to decouple the web server that accepts the upload from the fleet of worker servers that do the transcoding?,
What is the difference between a standard queue and a FIFO queue in AWS SQS? For processing financial transactions, which would you use and why?
How does the Publish/Subscribe pattern differ from a message queue? Design a notification system (email, SMS
What is a VPC? Explain the purpose of public vs. private subnets in designing a secure cloud network architecture.,
Design a rate limiter for a public API. Discuss different algorithms (e.g., Token Bucket
What problem does a NAT Gateway solve for resources located in a private subnet? Explain how it enables outbound internet access while blocking inbound traffic.,
Debate the pros and cons of Monolithic vs. Microservice architectures. For a new, complex project with an uncertain feature set
Write a simple Dockerfile for a basic Node.js Express application. Explain what each command (FROM, WORKDIR
Design the REST API endpoints for a simple blogging platform (Users, Posts
What is the principle of least privilege? How would you use IAM Roles to grant an EC2 instance temporary, secure access to an S3 bucket without hardcoding credentials?
What is the difference between primary-secondary and primary-primary database replication? What are the benefits and drawbacks of each approach for read-heavy vs. write-heavy workloads?,
What is Continuous Integration? Describe the key steps in a CI process for a typical web application from the moment a developer pushes code.,
Your social media app's 'Users' table is a bottleneck. Design a sharding strategy for this table. What would you use as a shard key? What are the challenges (e.g., joins
What is the difference between Continuous Delivery and Continuous Deployment? Why might a company choose one over the other?,
For the blogging platform from Day 17, how would you use GraphQL to solve the over-fetching/under-fetching problems inherent in the REST approach?
What is the purpose of Docker Compose? Write a simple docker-compose.yml file to spin up a web application container and a separate Redis container, linking them together.
Explain how consistent hashing helps to minimize data redistribution when adding or removing nodes in a distributed cache like Memcached.,
What is the role of a container orchestrator like Kubernetes? Describe the function of Pods, Services
In a microservices architecture, how do services find and communicate with each other when their instances and IP addresses are constantly changing?
What is Serverless computing? Design a simple image thumbnail generation service using a Lambda function triggered by an S3 bucket upload event.,
In a distributed system, what is the leader election pattern used for? Describe how a system like ZooKeeper or etcd can be used to implement it.
What is Infrastructure as Code? Write a basic Terraform configuration to provision a single EC2 instance in AWS.,
Design the architecture for a large-scale blob storage system like Amazon S3. How would you ensure durability and availability of the stored objects?,
What is BGP and what role does it play in the internet? Explain the concept of an Autonomous System (AS) at a high level.,
What is an idempotent API? Why is it a critical concept when designing systems that use message queues or retry mechanisms to handle payments?,
What are three common strategies for optimizing costs in a cloud environment (e.g., Reserved Instances
Design a URL shortening service. Your design should consider the API, the data model
What is the difference between metrics, logs
Design a high-level architecture for a web crawler. How would you handle politeness (robots.txt), avoid duplicate URLs
In a distributed microservices environment, how would you centralize and manage logs from hundreds of containers? Describe the role of a tool like Fluentd or Logstash.
Design a distributed key-value store. How would you handle partitioning, replication for fault tolerance
What is Distributed Tracing? How do tools like Jaeger or Zipkin help developers debug latency issues in a microservices architecture?,
Design a distributed cache system from scratch. Discuss the challenges of cache invalidation, eviction policies (LRU
What is the difference between a Security Group and a Network Access Control List (NACL) in AWS? Which one is stateful and which is stateless?,
Design a service that can send millions of notifications (Push, SMS
